unit,signal,type,group,pin
0,VDD,P,,45
0,VCC,P,,27
0,GND,P,,24
0,VBB,P,,48
1,C1,I,L0,46
1,C2,I,L0,26
1,C3,I,L0,47
1,C4,I,L0,25
1,M11,NI,L1,32
1,M12,NI,L1,31
1,M13,NI,L1,30
1,M14,NI,L1,29
1,M15,NI,L1,28
1,SRA,NI,L1,12
1,RNI,NI,L1,8
1,IRQ1,I,L2,4
1,EVNT,I,L2,5
1,ACLO,I,L2,6
1,VIRQ,I,L2,7
1,BUSY,I,L3,9
1,COMP,I,L3,10
1,SR,NI,L3,11
1,RA,I,L3,13
1,M0,NIOZ,R1,44
1,M1,NIOZ,R1,43
1,M2,NIOZ,R1,42
1,M3,NIOZ,R1,41
1,M4,NIOZ,R1,40
1,M5,NIOZ,R1,39
1,M6,NIOZ,R1,38
1,M7,NIOZ,R1,37
1,M8,NIOZ,R1,36
1,M9,NIOZ,R1,34
1,M10,NIOZ,R1,33
1,WI,O,R2,14
1,DO,O,R2,15
1,WB,O,R2,16
1,IACK,0,R2,17
1,SYNC,O,R2,22
1,DI,O,R2,23
