unit,signal,type,group,pin
0,VDD,P,,45
0,VCC,P,,27
0,GND,P,,24
0,VBB,P,,48
1,C1,I,L0,46
1,C2,I,L0,26
1,C3,I,L0,47
1,C4,I,L0,25
1,CS,I,L1,28
1,M0,NIOZ,R0,44
1,M1,NIOZ,R0,42
1,M2,NIOZ,R0,41
1,M3,NIOZ,R0,40
1,M4,NIOZ,R0,39
1,M5,NIOZ,R0,38
1,M6,NIOZ,R0,37
1,M7,NIOZ,R0,36
1,M8,NIOZ,R0,35
1,M9,NIOZ,R0,34
1,M10,NIOZ,R0,33
1,M11,NOZ,R1,32
1,M12,NOZ,R1,12
1,M13,NOZ,R1,11
1,M14,NOZ,R1,10
1,M15,NOZ,R1,9
1,M16,NIOZ,R2,14
1,M17,NOZ,R3,15
1,M18,NOZ,R4,16
1,M19,NOZ,R4,17
1,M20,NOZ,R4,22
1,M21,NOZ,R4,23
